dispute_id,payment_id,dispute_date,dispute_reason,dispute_status
c7d0b3f7-8f1d-4300-83cf-af9c078dc236,980f56e7-fe4e-43b6-914e-5df48c25de40,2024-07-10,Billion either usually treatment.,Resolved
5f1177d3-8774-4590-bec0-3c2bb105b086,a33eb94c-7a5c-42e1-b4fb-af1ca3d1f9d9,2024-08-20,Kind amount senior benefit.,Resolved
3c29557a-350d-400c-833b-5ca3457230a5,7517c922-9dcf-4db6-bf4e-6e3ee3515677,2024-04-07,Push trip add when.,Rejected
bc398c84-6e6b-401c-9d2a-e217e683aae8,9018dc1f-5c0a-4dc9-b8d0-805ca2ab3167,2024-02-23,Or difficult factor live message.,Open
3d1e5f8e-077b-4fba-af72-b8dd2f04ecfe,948df318-2a5d-49cf-a879-86fd9374a731,2024-03-23,Happy young Congress speak.,Open
36235d2a-e33e-4063-b3e0-362dcd759c11,add92319-f708-4470-87ce-5248f72aab3f,2024-01-12,Likely cultural last firm white voice control.,Resolved
ee9feeb1-480d-4420-9fac-a0e9f00dae78,2763e52d-2f13-413b-ae52-fd9f78605064,2024-02-05,Development yeah bill scientist director agreement data.,Resolved
c4039205-36e0-4385-9c6f-198178c3129c,d621a6ed-6d22-490f-8025-4935439320c4,2024-05-19,Employee to when party notice game laugh beautiful.,Open
d8b2a49b-7d5f-4d6e-a946-8e454b4f4c46,71a0bad3-60ae-46be-bff4-d5b27221daec,2024-06-28,Mission detail some send suddenly.,Open
b43a467e-eed6-49ef-aaca-6f8dbf8c39ff,d0aaa6d6-c472-4fa9-8a7a-58d27e6208d2,2024-01-14,Short real prove design say.,Rejected
93287fc2-d407-49c4-86a5-0ae40c70c189,5c6355fc-4b42-4a38-bcc2-f535a954cec2,2024-06-04,Test final trial quickly build force.,Open
d9c929ec-0d4c-4124-bfa4-5aec8ecd7e5e,323266b3-54f7-4bb9-bcad-4c604574552c,2024-04-03,From whose especially little PM.,Rejected
6ad8b18f-eab4-4967-84bd-da52ab0cfc3f,613ad4d3-849c-47f8-bfbf-d77efb71e83a,2024-04-09,Risk tell half want group yourself.,Open
840dd366-944b-494f-af2f-c759e8275a32,8ab78afe-57f3-410e-ac9a-853121fe0bbe,2024-04-05,North picture show spring recognize science skin.,Rejected
b989a91c-48b7-40a2-9b8a-72556420bba6,aa7b08a7-5a69-4427-8216-d45322bef63c,2024-01-04,Set really yeah before.,Open
a2d586ec-872d-4058-b072-39f468cb527c,cf06fb69-ccca-4eca-b164-6bb974d82cab,2024-08-09,Song remember actually product discuss during.,Resolved
5acf7d03-3691-4219-8f8f-cd60ef6eb45c,299ab8c2-4d6c-4787-a375-d2f6bee51058,2024-03-09,Where who eat thus place.,Resolved
19a5691d-39eb-4afd-b224-acbfdd8a12c3,45ba8697-4b1a-4888-90e9-1490bf933934,2024-07-21,Itself there special save moment campaign.,Resolved
477779e7-1c30-4a5e-bbde-68e0cca034e2,b5ce6d9c-10dc-4923-ab9c-e7a068bbebb9,2024-01-31,Also heart to weight hot memory.,Rejected
d74c806e-12e1-457a-99db-7d1774f67de9,90625e9d-ef19-422f-b373-8de7a55e8406,2024-08-17,Technology talk parent nor.,Resolved
3d74c81e-9964-4e68-933c-1fab15387685,32647428-f0b8-44df-9f91-06dd52fca853,2024-03-06,Billion lay operation.,Open
0056f1a2-2852-43e1-9d57-0081f1f3c654,f0939297-1552-44db-ac43-ad3d0e28474f,2024-07-08,Imagine it cover weight sea should meeting.,Rejected
19dc046c-6a38-4175-9abd-9d2d0c1bdafb,86196f27-85a7-4fc4-a377-7110fd67db67,2024-07-28,Pull them strong fight science.,Open
0fba3b54-3ae8-41f5-93ba-707f934e9017,91a5ecdf-66b3-49dd-a183-8b320ff26195,2024-02-16,Several seat it type able.,Open
d7534b70-c738-4a2c-8d74-43ed0d1002b1,39ec9b76-2f93-4091-8548-deec4b1b7d2e,2024-07-14,Some good figure consumer social school.,Rejected
2f082a2b-c73e-4709-afc4-e18ebc972b51,c954313a-5bac-47d8-9d34-06e36078e2c8,2024-08-14,Stay affect human represent.,Open
d88de523-6992-4537-a329-fe359e6d9405,20c148c8-ba62-4b50-8f02-fddcecd6086e,2024-05-28,Realize they purpose little provide.,Rejected
76c52df1-f641-4506-9533-8831c45ef55f,5d37e515-55be-46d5-bc96-7d4058c0f6c3,2024-04-28,Peace book across memory man.,Resolved
d519e2ab-aa8c-4e5d-ad53-e5555fa4ae41,98b2a279-e97f-4919-9011-c430684d487a,2024-04-12,Wide court summer ground other.,Rejected
a32b9951-a0e7-4785-b102-efcb48dcc0a8,8ac288e4-4d65-40f5-afce-1dc84174769f,2024-05-09,Life product fight less mother environment job.,Open
1f915cda-8e65-41ea-a264-e1e6d1fa3bc3,e71223b2-9add-430a-9d62-e9bf5e418ea1,2024-02-04,Quality her way compare.,Open
371bfd46-f6bf-4c9e-bcee-5a75dfcc26c3,e0fe8404-4016-4c7f-a66c-0848503ce485,2024-03-16,Benefit theory understand something drive people.,Resolved
5952b70d-cf96-4510-9c06-08c28f938ca0,7ac3ff03-5e47-4ac4-8690-65795b962c72,2024-02-17,Difference finish enough window most drive detail.,Open
d72776f8-69d0-4f81-a12f-fb7fa79ab6ef,4804bffc-2520-4e82-9217-b811d37e81b6,2024-07-01,Until without leg like effort.,Open
d28d0f99-3566-415b-ae2d-227d66a20071,f6fe909a-7601-4b11-9637-cd0865cd1815,2024-07-07,Party deal up education kitchen.,Resolved
b8d4347a-326b-4e0f-8122-f8f0978ff063,91529f80-1552-452d-aaab-6e8ddd1770d1,2024-05-21,Technology use need.,Resolved
37d8f69d-861b-4166-b160-af37413631fa,18c99bcb-284c-4216-9360-120de5339841,2024-07-21,Miss report how man home.,Open
1d03b8f9-ad05-4ed0-9c83-a603f455c545,ddfbacc1-f03f-4abb-ad6c-894061b521a7,2024-05-13,Contain determine want man choose.,Resolved
4950028c-2d16-411c-9813-8a645a60779b,a55ad055-cad1-450b-b7c9-adba65d0289a,2024-05-16,Tend space heavy next relationship.,Open
836354d3-97e7-4c51-8652-50cfaebb7e77,7e30f3a2-d473-494a-bc63-639fae58039d,2024-04-23,Seem material beautiful green.,Resolved
7cdf153f-fc39-48ad-a4b3-3a32e096e247,29d42039-1cac-472e-a9d1-efaae4555dcf,2024-02-19,Off enough leave.,Open
8f82f2bc-8cbb-415b-a5fe-b71640b666b7,49cf8c2d-a278-4172-aef1-990e1ee2801d,2024-06-28,Subject collection beyond data democratic offer vote action.,Resolved
4223bf6b-9303-4b0e-a437-9a65bd5b4680,74850418-08ec-469f-b0b9-75814a396b70,2024-08-03,Treat offer them impact.,Open
0d096fba-da2f-45f1-834a-75ff02ae00b8,135078f4-0d98-43ef-8fb0-64423d31c2ac,2024-06-04,Suffer bag north job.,Open
6a32eebb-bb13-4e38-9b45-ea2789f1caee,91529f80-1552-452d-aaab-6e8ddd1770d1,2024-08-22,Ability gas couple describe her boy deep.,Resolved
a916878f-223b-4f8e-af56-04a324489728,df33b160-0930-49cc-be89-c19717ab9958,2024-08-05,Determine condition return significant half at he.,Resolved
ce543252-d47c-4a43-8c85-b2ebef8d3387,56b79fb9-c0ff-45d4-8f9b-576a86f76217,2024-08-23,Blue paper song share industry physical idea along.,Open
8f78e23f-00f3-44ea-acaf-7b70a6f614b0,2fe3d815-2fd0-4016-8b49-2aeb90b07a2b,2024-03-27,Establish continue understand should standard organization.,Resolved
9795816f-54bf-468a-a6ca-2c34ee619dd6,ad5f237f-752e-4c0c-8b72-73aa5d71a10f,2024-08-17,Allow officer condition paper better build front.,Rejected
c89f1644-09fd-4479-99ed-8a2c69e743ad,caaf76fb-6d6d-4887-b8f7-527d275d6a63,2024-07-28,Stage price world every enjoy situation nearly.,Resolved
f4000945-56ea-4010-944c-5d2fdc686352,598ebe3d-7dfc-479a-a73e-4438e05d1fdf,2024-08-15,Teacher sound coach page.,Resolved
b83da3e7-0d52-484d-ae67-601894928de8,8892373b-9b2d-4acf-92ca-f765c0ce483e,2024-08-23,Under young final happy.,Open
ed4a2caa-225d-47a4-83d2-dc58f2d2d87f,d2ea721b-4bff-4a9a-8aa0-531ff5a2201d,2024-02-29,Always people pay always Mr race lot.,Open
8b427da6-6eda-4ef3-bee7-1b90954f981b,8e09e588-9864-4550-874d-02ea717efb6c,2024-03-19,Leg form reduce race old edge.,Rejected
1cf006b0-42a0-4b70-97b0-aa1aae2e340f,e06517bf-631e-4442-9937-fc8817eee01f,2024-01-17,Establish language study white himself.,Open
20ffe7d9-8433-4cdf-94b0-dbedebc91484,c682f757-b661-4ca2-9c34-ad85ef4b7dcc,2024-05-03,Simply against every age.,Open
69015f44-48b5-42eb-8150-01f5a64b04db,ca00a821-f523-4f8a-898c-1ba6d050b2cc,2024-05-07,Serve leader military picture while.,Rejected
5c7f2c0a-3bde-4bcc-8514-a59492791c2c,030bc91b-6142-4dda-a4f0-32a04bfeec82,2024-01-17,Model science sense open.,Open
b231560e-ffb4-49e0-835c-577da2d17b51,c186eb49-fb73-4eb0-a7de-265dad690b20,2024-08-19,Simply sea kid piece news create purpose.,Resolved
389c7fb2-8429-495a-85cc-e2f1568e1306,27357f70-b730-4d37-8482-37ebcde407d9,2024-03-07,Point rise prevent international fact study.,Resolved
8aa074fb-650d-4429-8bfb-bd2b3990b5a3,b0d7de8a-e7f4-455f-8e1c-85b72752db67,2024-02-13,Subject piece production prevent.,Open
5f596918-cfcf-4766-a493-0ff095957c04,ccf41157-267a-467b-80c4-a12c65fbb8da,2024-07-09,Order issue board institution energy structure.,Resolved
c4889090-5aad-40fb-bb68-25bce527af0f,ed603f49-a731-4399-91b8-15a413bdfd05,2024-02-10,Provide page house throughout technology.,Resolved
89ad28f0-4bf2-445e-88fd-e748da6ef2b4,d0aaa6d6-c472-4fa9-8a7a-58d27e6208d2,2024-03-11,Together seven article up summer.,Open
b4883875-29d1-425f-92a8-abfd98087949,5c48fb98-a359-4029-91f5-1d91b8f9ad9c,2024-01-23,Class note month door plan media.,Rejected
c55a118c-4aa7-408c-9c91-023a9a715cf7,90cc16f0-d704-4bc7-8b7e-c1aff588f53d,2024-02-02,Beat stop image owner mention become.,Rejected
04e3c3ec-2f0f-494d-8c88-74a690e02832,39ec9b76-2f93-4091-8548-deec4b1b7d2e,2024-05-01,Commercial society force avoid our.,Rejected
a041e2c1-eb6e-4160-ae5f-7cdb0623dec9,ed3f40ad-ef75-4375-987f-dc5098196d0d,2024-05-20,Above age camera citizen.,Resolved
fa48f0b6-584e-4ae0-9d21-1700a5ca51e4,5660145e-6a5e-43f3-9bbd-4a95de4092ab,2024-03-29,Culture suggest have cell.,Rejected
58cbe271-f2bc-48c4-b936-be24de3e11aa,5b029232-9b30-4413-ba59-c18b2104f1cd,2024-08-01,Again grow read give section.,Rejected
8e282e31-5f45-4fde-a811-f5d32b14df8c,445fa053-5ea3-4ed8-af81-42533ecebc12,2024-06-07,Small realize machine whole ask.,Open
5b6e3d94-391e-42aa-b77e-6bb53549fce3,1aa433e2-5cc5-43b9-ba58-267641bc2592,2024-03-22,Finally mother cost difficult long total.,Resolved
005c01af-871b-4c26-8ae7-1bf765814754,e039a873-e371-4242-b1ed-03390816aca2,2024-06-09,Page sound admit must shoulder.,Rejected
4e78af08-431a-43bf-8c3a-2cbda17029b6,4b76633c-a7b2-47d2-866a-0c2e733a0f18,2024-03-13,Wide technology section dog choice draw appear reveal.,Resolved
90a064ee-827b-48c1-85c1-f5f3bd90f38c,0a6a7bb1-b2fd-4738-99ee-c028f224a507,2024-01-07,Voice final shake commercial several all.,Resolved
47f6938b-141f-4165-8d35-072c01f2eb3c,31889b9a-b06c-4fc4-97c4-9549a38e12d1,2024-03-08,Sea those still strong you shake attack.,Open
f8b6c338-1dd4-48d2-b9b2-25b15ed1dfaa,241b90ad-e395-4bb2-b910-7401eea4b341,2024-04-11,Party collection campaign save system.,Resolved
20eefa0d-7911-46c3-8bc8-9dc84b9a70c6,769d6d61-28b0-42ec-be8a-4fa5e7b6e110,2024-03-06,Anyone coach watch it across.,Rejected
cdf99e41-0f1a-4fa1-9b39-6c9022590835,38cc8825-8135-4a9f-b9da-0629f7429f57,2024-03-06,Buy each know team.,Rejected
71f42424-d035-47f3-af97-b4caac1cfa6b,51144e4b-ef55-4eb8-9352-0649c746366a,2024-01-05,Design participant every address Democrat.,Resolved
448098b3-ac55-46ee-80c5-e5929b5a1a7d,b390fb88-163e-49de-804f-c157a35f7f47,2024-06-20,First factor know realize goal.,Resolved
6afb492b-a706-4a44-a79b-18a68c35be24,31d1970c-7aac-4fe8-ba20-4d1ae9b37ee1,2024-05-18,Support moment finally keep score last responsibility.,Resolved
64160876-97a8-4550-82d9-2342dbc6c533,610bf9f2-f2e6-4df5-83e0-7ac1d2395480,2024-02-25,Again relationship fact.,Rejected
f7ea9429-71f3-43eb-a7ca-f8dceed5e7aa,fdf08a22-ae81-4075-a02d-4d25d8cb235c,2024-08-11,Car how five.,Resolved
76e848a1-ffc1-4588-b1cf-e51f24b01e02,5b4914e3-fabf-4cd9-bb77-4bc66d6ae862,2024-03-11,Several former subject respond way suddenly sport side.,Resolved
aaa077cd-39af-4c84-8c73-0867754730d4,324ba3c7-0faa-4f3a-a708-49eba6b4b6a6,2024-01-13,Analysis treat conference their.,Resolved
2ddf69e0-8288-4898-8728-c2070943d52f,461efd9c-6e7d-4a57-97c8-e83569a7b6ac,2024-02-23,Consumer bank free someone down.,Resolved
1ef9e5dd-c7bc-434f-a249-fbb67a80b5ea,dc0eb52d-319b-43e6-9093-70017d251fba,2024-01-04,Bring along would young international key.,Rejected
ac31f991-f674-42dd-87d7-19ef66184072,f6fe909a-7601-4b11-9637-cd0865cd1815,2024-08-18,Side item management agency much in.,Open
aa364718-18af-40f8-a189-daa841f76385,3508bc1c-48a1-42ec-a1c8-6d78476dc41f,2024-04-27,Sort color own ok nation provide statement group.,Resolved
b68cc4cd-3b70-4cf0-a5b2-98592fc3ce42,910be1b8-ac4e-466b-acb8-c482a69f5d94,2024-06-04,State bit leader factor part beyond get million.,Open
faf446c3-2130-40de-92aa-c6df28deebf9,ed7009d7-1578-4a46-860a-891e6dcb3b53,2024-03-27,Technology them response human.,Resolved
0f3f7894-233e-43fd-aa6b-925bf9fa8bd9,e9e598f8-21f3-40d5-9055-0f2ad30156c5,2024-04-04,Time teach adult media sense data event.,Resolved
20969ed3-5684-4f23-a72b-dbdf87aa988c,04bd52c2-ee29-48ea-ad98-999554807258,2024-01-05,Fly statement population serve forward significant we.,Resolved
c8b5712f-a648-473c-a92c-39f72f6099f4,e42e2eb6-2873-4d12-96b9-b22f10e95e81,2024-02-16,Single member away medical admit cut paper during.,Resolved
1999dae7-29b0-4db5-b449-12f4ea06bd5b,19b0f124-a336-4ad9-aa0b-a4f487e82165,2024-02-15,Happen talk agreement act serve state mind.,Rejected
df1e3b1a-f8b8-43ed-87eb-b3e8e6abc57e,4b6d460a-3006-4f90-8806-d389f91b7c17,2024-02-08,Provide run while mission.,Resolved
e80a86cd-c7c2-4f5f-9ea0-ed9a8049c38b,aaa76a1f-54e2-43f7-b944-66ffce243a51,2024-04-02,Upon everybody power image.,Rejected
a1368697-3883-44f8-a893-284defcdf37d,51c628be-18b9-41f6-a53d-40728cac4965,2024-02-25,She eye have performance many point.,Resolved
d0f510a4-522f-424a-80a4-cede1432709d,2457a6ff-b4c9-4aa0-8066-c3e2777b6109,2024-02-20,Environment fund since according behind.,Rejected
2486a54b-2b14-4fc6-8fd6-78e388dc30c0,aa7f6109-1c00-4acd-b55e-d4c23ddca7e6,2024-07-10,Food somebody window have marriage use along.,Open
22571275-756e-4740-b8c2-d2b9ddbcbde7,24ad9efd-40e1-4f19-9f05-4f464c5e7a34,2024-01-26,North support election read north yeah scene.,Open
668720fa-82b8-4044-8b62-8041c25e7b2d,44780015-a4ca-4d22-b063-c998c0ffc4dd,2024-08-20,Lose break religious house.,Rejected
1f8066d3-9c50-4006-85a0-9cb7cea2840b,19b0f124-a336-4ad9-aa0b-a4f487e82165,2024-01-01,Music hot consider and food wrong.,Rejected
93438b96-a21c-469e-ba0e-a903e9972937,b6051d5a-3922-49a5-9135-766ee4a446f8,2024-05-02,Mr trade wind create.,Rejected
b1f92f9b-1dca-4dd1-9a88-ca09b479e6da,7a49f6e9-22dd-474f-8c04-ad50150d90dc,2024-05-22,Agree read over bar purpose including.,Open
30de0ff0-c91c-4632-b03a-0a6e0e14a0f8,bc969674-9602-458e-ab8b-4b683719271e,2024-06-09,True evidence ok both college.,Open
b6381c93-08d8-4af1-960e-f659b674e50f,5b368a03-06de-4db0-9109-91ca34182513,2024-08-11,Edge speech century do run yes interesting.,Resolved
41581c15-ba91-472e-bdc0-06963b7a9c66,4714e15f-5524-404c-8358-3cda0f8f7331,2024-08-19,Coach dark difference view race outside.,Resolved
86c4e71d-e185-493d-b3c0-cf23c90c26fb,6d8b241a-86d8-4f51-9d06-7017c95448af,2024-06-12,Whose new its mind attack step city.,Open
69cffb86-dc3c-4ce3-bfbb-0428f64ef41b,166ddfc3-d9b2-4d84-9b48-0675b7ed088e,2024-04-13,Treatment professor likely would nearly everything from.,Rejected
e0e29ec4-384a-43c0-acb6-3ff1ad12ccde,4714e15f-5524-404c-8358-3cda0f8f7331,2024-02-19,Reach major week president science environmental with.,Rejected
51739934-a14c-4996-83da-ba633ab0ad46,d41730a5-40fd-4c92-93a4-1040711f5ff4,2024-04-15,Your security training government.,Resolved
b5e19f81-6f97-4fc1-9e6a-7b8de708d6b4,f2c42d20-0332-4d84-9e04-15aa3b582e9a,2024-01-25,Enter tough law arm.,Open
54387b78-bfdc-4984-b583-cdda064920e8,993c6bbf-f86e-421c-9a7e-90a23e93e82e,2024-03-27,Degree break common trade.,Rejected
015db880-1f34-4f4a-815b-234247d30894,cb76437c-000a-4546-ac97-74fc36374a70,2024-01-05,Begin city pass admit indeed sign according.,Resolved
dbc205df-8031-461d-8540-189329d9e9c0,d62bb5d9-cc67-4b54-b251-65a5bcb6c093,2024-05-22,So man ago low.,Resolved
89043db2-3960-473f-8f63-fbeef5260a3e,0d98face-1343-4e12-908a-76b424707bc2,2024-04-15,Reach finish window act though middle population audience.,Rejected
c6298586-1fc7-4169-a2e5-3a35d835f7a2,f0939297-1552-44db-ac43-ad3d0e28474f,2024-04-19,Director off surface lot trial.,Open
e27a304c-b2af-476d-9dbc-21db568669c2,50df3db6-4869-46e5-b27f-a83664221bcd,2024-03-12,Shake must natural prevent affect decade.,Open
44b0faa7-8724-4358-b4c2-fef256eae2be,82a99d82-6a03-49e1-b8a1-9cfe2ac29bf2,2024-04-14,Move indicate your amount mother month.,Rejected
490cd493-71a4-44db-b3a1-fe8cab038b8b,bc6caaf7-c59a-48dc-a445-813742d24383,2024-03-31,Continue experience black notice.,Resolved
533b2de4-1275-4db2-9a05-04a5241ed836,1b240386-98c0-4ea4-b093-78eb5dd77878,2024-05-21,End challenge laugh late camera notice enough.,Open
0202ed82-1d2b-4580-9b24-835b9a2bf2fb,b0d7de8a-e7f4-455f-8e1c-85b72752db67,2024-06-07,Tough toward hard clear include bar.,Resolved
afaf65bb-a3bc-488b-8401-359e9d87e75d,f3b7b897-40ec-41ff-9962-69eb32c3d8ee,2024-01-27,Standard model catch remember someone it.,Resolved
3ee4a363-4137-4074-ae97-1356c66c367e,1494a1f4-ba77-4ab7-840a-c94abc62de05,2024-04-22,Attorney bank season room.,Rejected
cea7a795-d441-4321-a57e-396e25688cba,5c48fb98-a359-4029-91f5-1d91b8f9ad9c,2024-08-14,Know voice own something.,Open
a66cfe84-731f-4fba-983b-b2d89ad8d0e2,3f756e7e-9277-4234-a285-54f9fc016651,2024-07-20,Fine avoid north price vote or.,Rejected
76ed3c46-57b8-42d2-951e-9e2e1eec5921,7854036d-1e3d-44f6-81b8-0e9c08462fb0,2024-07-17,Him know specific authority effort wall rest.,Open
8d314001-6f6b-4861-86b9-12eec6065a4c,613ad4d3-849c-47f8-bfbf-d77efb71e83a,2024-02-20,Raise per behavior investment cause.,Resolved
a562218f-d068-4f9d-83a7-d698ec444561,135078f4-0d98-43ef-8fb0-64423d31c2ac,2024-01-26,Prevent think someone owner.,Resolved
9c1cd544-6dc5-47e8-881e-328ba853459c,372e3a8c-265b-46d7-823d-50d8aa80fdd1,2024-02-08,Customer behavior represent second.,Open
a19e30b0-de52-407b-8d87-9428a1796f5b,4461ed59-584b-418e-b875-6ac85c295ca5,2024-05-07,Opportunity somebody her.,Rejected
a8945819-1b0c-4d46-9319-72cfb746e65a,8f4f7c0f-5060-420f-9ace-2ff6dfe2a267,2024-02-21,Factor sort entire lose purpose event.,Rejected
8f96e091-f462-4419-b9d5-13d6a2d9616d,ee6a3a1e-23c3-425c-83c3-b8c708273bbb,2024-06-15,Enter customer job.,Rejected
0a914774-40ad-4024-af3a-b889421151af,ba614688-b365-424e-a8e7-15108408d700,2024-08-23,Phone effect skill.,Open
c94a0f51-f5ac-4110-ab98-033b76548be9,0e04916b-24da-4b81-9857-9a296d3d8eb0,2024-03-30,Together always movie fact drive against senior.,Rejected
12b379e8-dcbd-45f2-a506-d261fdf67323,19b0f124-a336-4ad9-aa0b-a4f487e82165,2024-07-21,Provide moment line middle author pretty we.,Open
945a005a-a965-46a2-ac7e-a9ea370cabf9,8532ac07-ce19-4f7f-b40d-3eda0cb2ed38,2024-03-14,Whether machine door budget population paper traditional.,Resolved
a93c0855-3071-4631-b76b-fc8c1ecea26c,441efcf5-df15-4993-a7f4-bc3f5c90346f,2024-07-26,Food feeling goal note.,Open
cbb6d027-d695-42af-8d92-dca0230cc54e,1b240386-98c0-4ea4-b093-78eb5dd77878,2024-04-12,Station specific whether stop nearly.,Resolved
48d95aea-9c8c-4639-b9dd-3e506e07ba8e,62a06697-7883-4843-ac06-41c01d96eb50,2024-03-14,Number upon behavior right.,Open
f6e5545c-5d29-4132-bcb4-a6b67b39593a,ea9f39df-d7b7-45b6-bcf3-2fa0bec45eef,2024-06-24,Theory ground TV season spend rate table.,Rejected
8a340135-db98-477f-994e-e90cade76d14,27152e47-99bc-4f20-889b-5145be9a2746,2024-01-02,Health impact water eye piece position near.,Resolved
6529279f-702e-4df0-b693-3f768fd7b960,5b368a03-06de-4db0-9109-91ca34182513,2024-07-13,Benefit approach check significant.,Resolved
2ee7f772-3ea8-4964-a8f8-596a81cbe7b6,c5124a0c-feb9-4197-82ec-9e0b449640aa,2024-08-19,World bar type admit however front author while.,Resolved
f3ba08dd-a509-4566-b24c-34f3df86ba39,08054264-8e8f-42be-be02-a4e1fd75a12c,2024-02-24,Side tree friend room language yes.,Open
1880f810-428b-4659-a16c-7e18c383fdc0,08555999-fbf5-4734-a7df-b8bafc25f581,2024-01-02,Room seem task man attention kitchen station.,Resolved
ae9106ab-1c8f-411c-a3c5-940a05692c20,b86d0af7-07b5-451e-bb49-f4713dba650f,2024-01-05,All oil hold strategy.,Rejected
99845d3e-d073-4451-93e1-23b4c9c65c72,e446e8c5-8359-4708-b4b0-93372ee1966a,2024-04-18,Play education all natural drive call light.,Resolved
