financial_data_id,user_id,data_date,financial_metric,value
5a828a34-1756-4c4f-a706-a9aebc849d46,735f6009-3c45-4b40-9521-e9a295362ff4,2024-01-16,Balance,46733.57
7b1191c0-fd99-4674-8b07-93827d197c4e,c3b2c4d5-6b09-4d05-885e-c8c0ac95b1f5,2024-05-01,Credit Score,8604.0
11d441d7-0fe8-4184-b08a-4be754c12beb,1d2ef168-1264-4001-857d-7f970e8544e5,2024-07-30,Credit Score,21174.78
042e5f21-8e0d-4db9-b4a3-e845fdcb1a58,4a1f0708-8dbd-4b3c-8de2-f950e4cc024c,2024-02-15,Income,36240.98
a751ff26-7eda-4262-8ea8-221a7704163d,0671681b-b013-4cb0-acbd-40eeb0563e0d,2024-03-20,Income,49156.28
349bbb78-dbfa-4c0e-b8aa-8629955a5a07,aa5398d6-8ce6-4346-92e6-4d0dc0c2df1e,2024-05-25,Expenditure,11392.98
24ec437d-9613-4702-9b91-089739972473,074d1e29-1806-4f4d-92b7-c8b08e72dead,2024-03-06,Income,3205.83
3d7f20c6-a6fb-4597-9bdc-a20c62778bc7,c62fb39e-0c73-4c1c-af81-2164d128545a,2024-01-04,Expenditure,908.08
959720ca-c82a-448f-9b03-6530c851e2ff,49a960f3-21e3-45e6-bdd8-12d351b98695,2024-02-18,Expenditure,8039.99
29bb7465-d2cd-4e1d-b2c6-7f5792acf098,8d447dfe-33c9-475a-9bd4-aa5bad5cdcb8,2024-05-31,Balance,45604.76
615253de-eb6c-4f90-be3d-f16d80356f0e,9de6b619-b456-4b99-acd3-a8ad50623261,2024-06-05,Expenditure,6536.55
ecaf31e9-87a4-45ee-a62f-cb4bf8423352,529bdbc0-09b3-45c8-b8f4-5b0ca0f45e84,2024-01-31,Balance,30993.69
70ce8e4c-17db-4d88-9821-00a87a94ca40,5b55c2d5-28ae-4f58-955d-beadc50f2d3e,2024-07-16,Expenditure,9814.07
4ffc7ea9-8f30-46e4-abd8-28b507a882c9,735f6009-3c45-4b40-9521-e9a295362ff4,2024-02-11,Expenditure,4406.34
9d26bcfc-90aa-4bb3-9227-2a5be4b14c00,a0224809-8ab2-4c6a-84ff-0fe06074c1b6,2024-06-17,Income,23176.99
1de83688-5aa1-4a0d-8aab-ad203a9147f0,b2d07241-6084-4fcd-a003-db2429b7437f,2024-06-14,Income,14956.68
87f05b0c-4cb5-466a-927d-ff054e7cdb86,d163438b-7417-4737-89fa-fae5e45f4546,2024-04-29,Balance,37823.2
757d004a-e4c5-41a4-adcd-7291593efb56,2ee53fb4-8246-4425-b7d9-e02df0b32d65,2024-08-06,Balance,23280.85
2231318f-662d-4592-adfe-d402541abd9e,6fb7691c-fbf9-4381-8ef5-3aac27255399,2024-05-03,Expenditure,5904.55
d574d7ed-0c3a-488d-b30a-da65c66100b8,66c1ff58-74f9-4396-a627-f6ee86eaa57f,2024-06-15,Credit Score,23388.15
7a506fde-0ac8-462b-8a8e-cb021d7dfd84,b16d76db-e24f-4902-89c8-ed215a106c00,2024-01-01,Credit Score,34013.18
481518a9-fd5c-445f-b539-405967380fae,5a04b690-cf24-4e84-8168-b912d39b539f,2024-01-23,Income,17913.77
0edf96d1-8c0c-4a91-951b-3b9993c4e449,c0902024-d478-4303-b590-e505ef1d823a,2024-05-28,Expenditure,5510.54
3e1f082d-d29c-49dd-8b7e-994957cd34c4,c74eea87-b211-4952-bf81-8d5860d443f4,2024-07-04,Balance,14352.37
5ec68cbc-cbe3-4750-8877-5f11f0b6591c,b21786fa-f048-4434-aaaf-ee2bf560f65d,2024-06-12,Income,42038.02
07dcd4d8-de14-4de9-bc81-d5f67c703db2,cc39a41b-0fc6-4236-acff-bf1359989337,2024-01-24,Balance,19355.83
e92be2e3-0a5d-44bf-a377-6f205f6bf32c,b036ba94-affc-4fab-af4d-8907944b6a54,2024-04-24,Credit Score,25340.12
028ef969-d40a-4d26-a1aa-ce90c86e64aa,194683d1-3e26-45f0-bf47-8e536c29973b,2024-06-12,Balance,34552.69
ca66bfca-0e32-49ef-bdff-5945fef0b9ee,148160e3-827b-4a0f-989b-d0f3f7d3385b,2024-02-16,Income,37163.45
a9ef4828-5323-4e9b-9314-a4104abdeb99,b2d07241-6084-4fcd-a003-db2429b7437f,2024-07-29,Balance,45180.69
4aee6888-a0ea-4118-b0b7-cc97785b6187,735f6009-3c45-4b40-9521-e9a295362ff4,2024-05-25,Balance,650.66
daaa4629-5152-47d1-8bde-b8d616339072,47c8f166-453f-4148-8424-cb9f300c16b3,2024-07-29,Income,18672.5
fa168c8f-2681-47d6-b898-0a8c84e921d8,5a04b690-cf24-4e84-8168-b912d39b539f,2024-07-08,Credit Score,48037.82
e2ec6b6e-ff83-48aa-9d36-575478704643,ae9e3240-34d7-495f-8e53-74f429f84cae,2024-07-07,Income,49295.51
453c2e34-ac2e-42ce-9dca-315bd09902f7,47adc2dd-7b5b-4d49-bc2f-ebf9ccea5908,2024-04-11,Income,47520.73
bede70dc-6dc5-4088-9331-0cfc8695a39b,49a960f3-21e3-45e6-bdd8-12d351b98695,2024-01-25,Balance,9349.43
35b2b43a-452c-4b7b-8001-3b7dd2220397,00ee2633-64ab-4d53-9d96-689b4a2d0e1e,2024-06-23,Credit Score,36440.3
d507df21-940e-43d5-bfef-93ec0726ba9d,c6319859-9808-4d3a-bc7e-5856c8f414ca,2024-05-27,Balance,45594.67
927660bb-0dc2-4a72-9ed8-16109afeb782,3daf3ff6-9020-413f-92dd-79a4f8ca26d5,2024-07-25,Credit Score,27766.84
d2893cf5-22cf-40af-8448-d52a12a97258,194683d1-3e26-45f0-bf47-8e536c29973b,2024-03-25,Expenditure,40559.81
1364e545-a297-4812-94de-852ab0d2d859,35737ad7-762d-4b97-bb1e-f80b63d9a296,2024-07-06,Income,782.74
67cc866e-8ef5-4d5d-9a55-3dda5f805b3f,f7c35df5-f31c-401c-8ede-83cae49e292c,2024-06-09,Balance,47572.0
e98ae5cf-65f3-461e-9714-f8689051bc6d,47adc2dd-7b5b-4d49-bc2f-ebf9ccea5908,2024-02-15,Credit Score,26169.6
4cdfb026-235b-417f-9cdb-b9554ceead64,7c6d1656-1a90-4fd7-90bc-186de92ab4e7,2024-07-28,Income,28465.01
009da39e-1bb0-4d88-8e99-126c873a9e97,4608658e-3ad2-4387-9494-cd7677eab5af,2024-01-18,Credit Score,9528.73
e69d00e1-7770-4c02-9314-9f6703ed5227,749b1171-e55a-4dad-ab36-ad2dcde328ec,2024-07-29,Expenditure,23455.24
f6ae5e06-72ec-43cf-af35-2db430fdd2dc,3612b05e-b718-41ee-90c8-effc8ee1cb25,2024-03-22,Balance,37748.92
eb9de48c-e003-46d9-baa2-d293238af147,757ae8a5-0ad3-4f56-b20f-8413b5edc6c7,2024-02-13,Income,41736.37
81276f7d-a28f-41cc-8410-008f8f9b9885,c9c534ca-b40b-473b-9eda-60d6a3c042bd,2024-07-31,Balance,32500.35
9aff71ca-5f67-4d4c-9b99-a9e9edf3a846,d7fff8f7-6639-460b-983d-0129cbcc8891,2024-03-26,Expenditure,43849.3
04ab4cdc-bf44-4083-884b-4b465a60f1e6,f2f97e93-054b-4f74-a8c2-15dbe77cd588,2024-07-06,Expenditure,31181.75
49597825-1bff-4859-b321-1efb44160fe3,e6eb2ce2-f526-4b3e-ac7f-c10df8235c6f,2024-01-28,Balance,19203.8
a1aba0b1-95d2-4c10-b9b2-20af069bf0b8,35737ad7-762d-4b97-bb1e-f80b63d9a296,2024-03-31,Credit Score,3278.46
f4e1c419-4d16-4d2c-9c21-532df92197d6,47c8f166-453f-4148-8424-cb9f300c16b3,2024-01-14,Balance,4394.58
c7ab6e25-0849-40f5-9f72-ebd8ceef52cb,ad248e90-5244-497f-bd4c-f4e0a8316d50,2024-07-18,Expenditure,15522.0
02972259-5aaa-4b78-ab6e-0016499bbf83,9d9488ff-b216-4a7c-9d9b-51fc0d8000f1,2024-01-20,Credit Score,14862.44
5e44fde3-a2bd-4586-9b31-390912ca0d42,26c5dfa2-9325-4814-b7c2-469a6ac7013a,2024-06-22,Expenditure,32156.42
02f6c336-1884-4e4e-a643-db38d931abcc,b2d07241-6084-4fcd-a003-db2429b7437f,2024-05-08,Expenditure,11946.73
b8b7a8cd-d8c7-4496-b04e-9a647e37c7cf,216c88e1-abe0-4dc3-9e47-5406d5a6f788,2024-04-28,Balance,3770.83
ecf07992-2c75-46fa-87b4-29c48aaaad88,3a3ed955-1e2c-4c0e-90f3-1061d55f6faf,2024-03-26,Balance,8257.19
5a5123e0-eca2-4cf4-aa21-b43e141ceee1,7c6d1656-1a90-4fd7-90bc-186de92ab4e7,2024-08-04,Balance,35255.98
ef0f2470-c0bd-494d-8017-f8c1857171cc,47adc2dd-7b5b-4d49-bc2f-ebf9ccea5908,2024-03-15,Balance,9924.96
2d0568df-b2de-43ad-96d6-67722cb745bd,4a1f0708-8dbd-4b3c-8de2-f950e4cc024c,2024-06-01,Expenditure,1706.02
9fd239b2-80bc-4834-b41b-65c640105cad,2862135f-02b7-414f-ab3b-e4c7a9926441,2024-01-07,Income,16253.01
14acd4f8-9778-4007-9c4f-a23a6db978d3,c9c5061b-5cb0-4921-9b18-e4b65ed92fdd,2024-07-01,Credit Score,45665.63
86a476c8-baf4-41a4-bf49-6dea84606c96,a27a0e31-c3cc-426b-a3bd-4288f3c74d53,2024-05-04,Credit Score,48194.31
57fb7630-fa48-42d3-a792-823fd988cea3,79523354-7cc5-402a-a41a-6c332fd3362c,2024-01-27,Expenditure,17323.45
7a4948b8-e6bc-49c7-b23b-948cdd184441,0671681b-b013-4cb0-acbd-40eeb0563e0d,2024-02-22,Expenditure,42592.84
469dabb1-6a36-45dc-8166-2b42bc3c0677,5eb0748d-c9c7-46d5-ae4b-5303e2bad242,2024-03-14,Balance,11036.56
be9b3429-47fb-4651-96b8-bd5ecf1111df,148160e3-827b-4a0f-989b-d0f3f7d3385b,2024-06-10,Balance,48609.97
bb83101a-b5df-456d-a205-a4108d4c3811,f7c35df5-f31c-401c-8ede-83cae49e292c,2024-07-17,Income,10248.25
3edb779c-54ab-46ad-b2ce-b11f8ee04c3c,66c1ff58-74f9-4396-a627-f6ee86eaa57f,2024-01-02,Credit Score,36097.29
dc700caf-35e4-4c87-8879-67ba2f94da0e,00ee2633-64ab-4d53-9d96-689b4a2d0e1e,2024-08-23,Balance,34521.42
0cc20ea8-c871-4c0a-a25e-edab49cd8c31,4a1f0708-8dbd-4b3c-8de2-f950e4cc024c,2024-06-10,Balance,42157.23
f0950311-0a89-4e2b-bf6c-e6697d5bd44a,acb1a36d-60ee-4f61-89d8-33690b596b63,2024-03-02,Credit Score,39000.12
0a85633e-233e-4309-801a-d3e4b5422df9,7c6d1656-1a90-4fd7-90bc-186de92ab4e7,2024-02-03,Income,32888.35
f682dd4e-a740-44c0-9d29-280574287d61,3a3ed955-1e2c-4c0e-90f3-1061d55f6faf,2024-02-07,Expenditure,5649.16
1e5b9bf3-ac99-474b-848a-aca9db99cf14,a0224809-8ab2-4c6a-84ff-0fe06074c1b6,2024-06-27,Expenditure,11173.24
c40df173-67b2-4dbd-b694-5e9015f4b1f3,749b1171-e55a-4dad-ab36-ad2dcde328ec,2024-03-09,Income,742.21
227b794d-6f2a-41ff-8392-5697eb0c7515,c9bff789-e136-4e3b-b8b7-46734964a1d5,2024-02-11,Credit Score,8357.46
95480d84-d884-424b-add9-1615000b377f,49a9312b-997d-4682-b6c9-de814396bc30,2024-08-04,Balance,44905.0
b7a8252d-6e9b-4079-982a-d4accb156740,4ecbce5e-15f5-4a3f-9871-83c8a1b8e817,2024-08-08,Balance,27224.63
451afe88-6b64-4930-ac4b-b114fca89647,e6eb2ce2-f526-4b3e-ac7f-c10df8235c6f,2024-07-08,Credit Score,12447.28
7fe7b840-4cec-46e6-a7e4-929d074dd622,86880ad1-de45-45f4-b7dd-a468ee90cb81,2024-05-25,Expenditure,32251.13
f75303e1-747d-4aa3-ae23-4f0f28486314,35737ad7-762d-4b97-bb1e-f80b63d9a296,2024-04-12,Expenditure,4883.79
9f3a66dc-720c-4c9d-bb46-59649291cc03,12d845e9-22a2-4cb5-bef5-2121c7eae759,2024-03-13,Income,40998.35
a5b67bad-77d1-4e9c-b6da-b1453f44181a,194683d1-3e26-45f0-bf47-8e536c29973b,2024-06-05,Income,43252.97
31ed117c-5f7e-4b3b-a71f-b9725b68804e,d7fff8f7-6639-460b-983d-0129cbcc8891,2024-01-08,Expenditure,3488.81
a299e681-f3b9-4fd4-8c23-254a0e4b0a6e,26c5dfa2-9325-4814-b7c2-469a6ac7013a,2024-05-27,Balance,44159.35
bc919986-83ed-4ad7-92c2-8364716a2ead,66c1ff58-74f9-4396-a627-f6ee86eaa57f,2024-04-21,Income,25421.11
f2dfab5c-e628-4706-887d-375a4756bb6d,c9c5061b-5cb0-4921-9b18-e4b65ed92fdd,2024-04-25,Balance,27393.53
91e5fc6f-a1a3-4be7-a081-da650a2e5022,c9bff789-e136-4e3b-b8b7-46734964a1d5,2024-07-26,Balance,5121.85
f4abfefd-5772-4046-8692-a3e35c49238a,d7fff8f7-6639-460b-983d-0129cbcc8891,2024-07-14,Expenditure,5841.82
e4886df7-3e1a-4554-9edb-f1153a1ee139,eac3247d-fd60-44a3-8f0a-bbad5fdfd531,2024-07-13,Credit Score,47576.76
ac79c6cf-a9d9-46f3-8438-38eeb57eea2a,c62fb39e-0c73-4c1c-af81-2164d128545a,2024-04-10,Credit Score,10423.15
723f22e0-819b-4e1f-84f4-376f8c70eadc,f881da73-2d0d-47f5-96d0-2117b165bec2,2024-02-23,Income,12386.83
492e0f55-35a0-4c4d-97bc-bd9718fece66,9bd9f81f-f556-44b5-b0b7-316d2b5f3828,2024-06-23,Expenditure,28696.56
eb101de5-1f8f-46d4-8e08-8340cbbd29aa,8a0da040-3ec8-42f4-bc9a-a6389ad8eb7b,2024-01-02,Credit Score,49526.71
79bd5fd1-50a2-47b2-b52a-f40f53a1fa42,d7fff8f7-6639-460b-983d-0129cbcc8891,2024-05-25,Balance,3614.69
eda3ede3-c29e-4270-ac41-95463fbd3af4,49a9312b-997d-4682-b6c9-de814396bc30,2024-07-16,Credit Score,38829.79
